P-of-T,SUBJ,NUMB,SECT,CRN,TITLE,NOTES,HRS,ENRLD,MAXENRL,TIMES,DAYS,LOCATION,INSTRUCTOR,CAMPUS
,,,,,,,,,,,,,,
Fall 2018 (201808),,,,,,,,,,,,,,
Full Term - SESSION A,,,,,,,,,,,,,,
"Starts: August 20, 2018 --- Ends: December 14, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,ACCT,2101,1,24380,PRINCIPLES OF ACCOUNTING I,,3,40,40,09:30-10:45,T R,0218 BYWATERS ACADEMIC,"Ivory, Regina",Main Campus
1,ACCT,2102,1,24381,PRINCIPLES OF ACCOUNTING II,,3,33,40,08:00-09:15,T R,0218 BYWATERS ACADEMIC,"Smith, Thomas",Main Campus
1,ACCT,3103,1,21742,INTERM ACCOUNTING I,,3,2,40,02:00-03:15,T R,0107 BYWATERS ACADEMIC,"Ivory, Regina",Main Campus
1,ACCT,4123,1,27293,COST ACCOUNTING,,3,2,30,09:30-10:45,T R,0107 BYWATERS ACADEMIC,"Smith, Thomas",Main Campus
1,ACCT,4133,1,24820,ADVANCED ACCOUNTING,,3,3,40,09:30-10:45,M W,0107 BYWATERS ACADEMIC,"Smith, Thomas",Main Campus
1,ACCT,4143,1,27073,AUDITING,,3,9,40,12:30-01:45,M W,0107 BYWATERS ACADEMIC,"Smith, Thomas",Main Campus
1,AENT,1801,1,27354,INTRO TO AGRICULTURAL ENG. TEC,,1,7,15,01:00-01:50,M W,0201 TABOR AGR ACAD,"Ogden, Cedric",Main Campus
1,AENT,1813,1,24526,ENGINEERING GRAPHICS,- Hope & Zell Miller STEM Course,3,17,17,12:00-12:50,M W,0201 TABOR AGR ACAD,"Ogden, Cedric",Main Campus
1,AENT,1813L,51,24515,ENGINEER GRAPH LAB,- No-cost:$0 required txtbk cost,0,17,17,01:00-02:50,F,0208 TABOR AGR ACAD,"Ogden, Cedric",Main Campus
1,AENT,2803,W1,22472,WOOD AND METAL TECHNOLOGY,- No-cost:$0 required txtbk cost,3,12,20,,,,"Borne, Curtis",On-Line
1,AENT,2803L,51,24231,WOOD & METAL TECH LAB,- No-cost:$0 required txtbk cost,0,12,20,05:00-06:50,T R,0105 TABOR AGR ACAD,"Borne, Curtis",Main Campus
1,AENT,3823,WH,27850,ELECTRIC/ELECTRON APPL,,3,5,15,01:00-01:50,M W,0208 TABOR AGR ACAD,"Williams, Archie",Main Campus
1,AENT,3823L,51,27851,ELECTRIC/ELECTRON LAB,- No-cost:$0 required txtbk cost,0,4,15,07:00-08:50,M,0201 TABOR AGR ACAD,"Williams, Archie",Main Campus
1,AENT,3823L,52,27890,ELECTRIC/ELECTRON LAB,- No-cost:$0 required txtbk cost,0,1,10,11:00-01:45,T,0203 TABOR AGR ACAD,"Williams, Archie",Main Campus
1,AENT,3832,WH,26477,INSTRUMENTATION,,2,12,15,02:00-03:15,T R,0201 TABOR AGR ACAD,"Williams, Archie",Main Campus
